"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 15 18:06:49 GMT 2023","Wed Feb 15 18:06:49 GMT 2023","0","","The Aplan Website: As a user, I can verify the navigation header","","The Aplan Website: As a user, I can verify the navigation header","","",""
"passed","Wed Feb 15 18:06:49 GMT 2023","Wed Feb 15 18:06:49 GMT 2023","31","","The Aplan Website: As a user, I can launch into the Aplan Website","","The Aplan Website: As a user, I can launch into the Aplan Website","When I land to the page","When I land to the page",""
"passed","Wed Feb 15 18:06:49 GMT 2023","Wed Feb 15 18:06:49 GMT 2023","41","","The Aplan Website: As a user, I can launch into the Aplan Website","","The Aplan Website: As a user, I can launch into the Aplan Website","Then I should see Personal link","Then I should see Personal link",""
"passed","Wed Feb 15 18:06:49 GMT 2023","Wed Feb 15 18:06:49 GMT 2023","0","","The Aplan Website: As a user, I can launch into the Aplan Website","","The Aplan Website: As a user, I can launch into the Aplan Website","","",""
"passed","Wed Feb 15 18:06:49 GMT 2023","Wed Feb 15 18:06:49 GMT 2023","1","","The Aplan Website: As a user, I can verify the navigation header","","The Aplan Website: As a user, I can verify the navigation header","Then I should click on Car insurance link","Then I should click on Car insurance link",""
"passed","Wed Feb 15 18:06:49 GMT 2023","Wed Feb 15 18:06:49 GMT 2023","7","","The Aplan Website: As a user, I can verify the navigation header","","The Aplan Website: As a user, I can verify the navigation header","Then I should verify that I've landed to the right url","Then I should verify that I've landed to the right url",""
"passed","Wed Feb 15 18:06:47 GMT 2023","Wed Feb 15 18:06:49 GMT 2023","1564","","The Aplan Website: As a user, I can launch into the Aplan Website","","The Aplan Website: As a user, I can launch into the Aplan Website","Given I am on the login page","Given I am on the login page",""
"passed","Wed Feb 15 18:06:49 GMT 2023","Wed Feb 15 18:06:49 GMT 2023","2","","The Aplan Website: As a user, I can verify the navigation header","","The Aplan Website: As a user, I can verify the navigation header","When I click on Motor submenu","When I click on Motor submenu",""
"passed","Wed Feb 15 18:06:49 GMT 2023","Wed Feb 15 18:06:49 GMT 2023","41","","The Aplan Website: As a user, I can verify the navigation header","","The Aplan Website: As a user, I can verify the navigation header","Then I should see Car insurance","Then I should see Car insurance",""
"passed","Wed Feb 15 18:06:49 GMT 2023","Wed Feb 15 18:06:49 GMT 2023","56","","The Aplan Website: As a user, I can launch into the Aplan Website","","The Aplan Website: As a user, I can launch into the Aplan Website","Then I should verify the Get quote and Find more buttons","Then I should verify the Get quote and Find more buttons",""
